,index,Region/Country/Area,"Population, density and surface area",Year,Series,Value,Footnotes,Source
54,55,2,Africa,2022,Sex ratio (males per 100 females),99.7,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
55,56,2,Africa,2022,Population aged 0 to 14 years old (percentage),40.1,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
56,57,2,Africa,2022,Population aged 60+ years old (percentage),5.5,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
57,58,2,Africa,2022,Population density,48.3,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
58,59,15,Northern Africa,2010,Population mid-year estimates (millions),207.11,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
59,60,15,Northern Africa,2010,Population mid-year estimates for males (millions),104.59,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
60,61,15,Northern Africa,2010,Population mid-year estimates for females (millions),102.52,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
61,62,15,Northern Africa,2010,Sex ratio (males per 100 females),102,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
62,63,15,Northern Africa,2010,Population aged 0 to 14 years old (percentage),32.4,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
63,64,15,Northern Africa,2010,Population aged 60+ years old (percentage),6.6,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
64,65,15,Northern Africa,2010,Population density,26.9,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
65,66,15,Northern Africa,2015,Population mid-year estimates (millions),228.36,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
66,67,15,Northern Africa,2015,Population mid-year estimates for males (millions),115.31,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
67,68,15,Northern Africa,2015,Population mid-year estimates for females (millions),113.05,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
68,69,15,Northern Africa,2015,Sex ratio (males per 100 females),102,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
69,70,15,Northern Africa,2015,Population aged 0 to 14 years old (percentage),32.8,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
70,71,15,Northern Africa,2015,Population aged 60+ years old (percentage),7.3,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
71,72,15,Northern Africa,2015,Population density,29.7,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
72,73,15,Northern Africa,2021,Population mid-year estimates (millions),255.74,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
73,74,15,Northern Africa,2021,Population mid-year estimates for males (millions),129.02,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
74,75,15,Northern Africa,2021,Population mid-year estimates for females (millions),126.72,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
75,76,15,Northern Africa,2021,Sex ratio (males per 100 females),101.8,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
76,77,15,Northern Africa,2021,Population aged 0 to 14 years old (percentage),32.7,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
77,78,15,Northern Africa,2021,Population aged 60+ years old (percentage),8.4,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
78,79,15,Northern Africa,2021,Population density,33.3,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
79,80,15,Northern Africa,2021,Surface area (thousand km2),7769,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2021"" and the demographic statistics database, last accessed June 2022."
80,81,15,Northern Africa,2022,Population mid-year estimates (millions),259.97,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
81,82,15,Northern Africa,2022,Population mid-year estimates for males (millions),131.12,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
82,83,15,Northern Africa,2022,Population mid-year estimates for females (millions),128.85,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
83,84,15,Northern Africa,2022,Sex ratio (males per 100 females),101.8,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
84,85,15,Northern Africa,2022,Population aged 0 to 14 years old (percentage),32.5,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
85,86,15,Northern Africa,2022,Population aged 60+ years old (percentage),8.5,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
86,87,15,Northern Africa,2022,Population density,33.8,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
87,88,202,Sub-Saharan Africa,2010,Population mid-year estimates (millions),848.12,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
88,89,202,Sub-Saharan Africa,2010,Population mid-year estimates for males (millions),421.27,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
89,90,202,Sub-Saharan Africa,2010,Population mid-year estimates for females (millions),426.85,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
90,91,202,Sub-Saharan Africa,2010,Sex ratio (males per 100 females),98.7,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
91,92,202,Sub-Saharan Africa,2010,Population aged 0 to 14 years old (percentage),43.7,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
92,93,202,Sub-Saharan Africa,2010,Population aged 60+ years old (percentage),4.6,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
93,94,202,Sub-Saharan Africa,2010,Population density,38.8,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
94,95,202,Sub-Saharan Africa,2015,Population mid-year estimates (millions),972.75,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
95,96,202,Sub-Saharan Africa,2015,Population mid-year estimates for males (millions),483.99,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
96,97,202,Sub-Saharan Africa,2015,Population mid-year estimates for females (millions),488.76,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
97,98,202,Sub-Saharan Africa,2015,Sex ratio (males per 100 females),99,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
98,99,202,Sub-Saharan Africa,2015,Population aged 0 to 14 years old (percentage),43.2,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
99,100,202,Sub-Saharan Africa,2015,Population aged 60+ years old (percentage),4.7,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
100,101,202,Sub-Saharan Africa,2015,Population density,44.5,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
101,102,202,Sub-Saharan Africa,2021,Population mid-year estimates (millions),1137.94,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
102,103,202,Sub-Saharan Africa,2021,Population mid-year estimates for males (millions),566.87,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
103,104,202,Sub-Saharan Africa,2021,Population mid-year estimates for females (millions),571.07,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
104,105,202,Sub-Saharan Africa,2021,Sex ratio (males per 100 females),99.3,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
105,106,202,Sub-Saharan Africa,2021,Population aged 0 to 14 years old (percentage),42.1,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
106,107,202,Sub-Saharan Africa,2021,Population aged 60+ years old (percentage),4.8,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
107,108,202,Sub-Saharan Africa,2021,Population density,52,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
108,109,202,Sub-Saharan Africa,2021,Surface area (thousand km2),21879,Calculated by the UN Statistics Division.,"United Nations Statistics Division, New York, ""Demographic Yearbook 2021"" and the demographic statistics database, last accessed June 2022."
109,110,202,Sub-Saharan Africa,2022,Population mid-year estimates (millions),1166.77,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
110,111,202,Sub-Saharan Africa,2022,Population mid-year estimates for males (millions),581.31,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
111,112,202,Sub-Saharan Africa,2022,Population mid-year estimates for females (millions),585.46,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
112,113,202,Sub-Saharan Africa,2022,Sex ratio (males per 100 females),99.3,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
113,114,202,Sub-Saharan Africa,2022,Population aged 0 to 14 years old (percentage),41.8,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
114,115,202,Sub-Saharan Africa,2022,Population aged 60+ years old (percentage),4.8,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
115,116,202,Sub-Saharan Africa,2022,Population density,53.4,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
116,117,14,Eastern Africa,2010,Population mid-year estimates (millions),342.74,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
117,118,14,Eastern Africa,2010,Population mid-year estimates for males (millions),169.6,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
118,119,14,Eastern Africa,2010,Population mid-year estimates for females (millions),173.15,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
119,120,14,Eastern Africa,2010,Sex ratio (males per 100 females),97.9,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
120,121,14,Eastern Africa,2010,Population aged 0 to 14 years old (percentage),45,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
121,122,14,Eastern Africa,2010,Population aged 60+ years old (percentage),4.1,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
122,123,14,Eastern Africa,2010,Population density,51.5,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
123,124,14,Eastern Africa,2015,Population mid-year estimates (millions),393.35,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
124,125,14,Eastern Africa,2015,Population mid-year estimates for males (millions),194.84,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
125,126,14,Eastern Africa,2015,Population mid-year estimates for females (millions),198.51,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
126,127,14,Eastern Africa,2015,Sex ratio (males per 100 females),98.2,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
127,128,14,Eastern Africa,2015,Population aged 0 to 14 years old (percentage),43.8,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
128,129,14,Eastern Africa,2015,Population aged 60+ years old (percentage),4.3,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
129,130,14,Eastern Africa,2015,Population density,59.1,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
130,131,14,Eastern Africa,2021,Population mid-year estimates (millions),461.14,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
131,132,14,Eastern Africa,2021,Population mid-year estimates for males (millions),228.64,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
132,133,14,Eastern Africa,2021,Population mid-year estimates for females (millions),232.5,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
